user_id,country,monthly_income,monthly_expenses,savings,risk_level,goal
55,South Africa,57,39,61,low,invest in farming
56,Ghana,157,139,50,medium,save for emergencies
57,Kenya,150,77,111,medium,invest in farming
58,Ghana,227,184,69,medium,buy land
59,Nigeria,166,144,58,low,start a small business
60,Kenya,254,177,118,medium,start a small business
61,Nigeria,201,123,92,medium,educate children
62,Nigeria,189,145,92,medium,buy land
63,Uganda,81,51,68,high,save for emergencies
64,Kenya,142,107,83,high,start a small business
65,Kenya,110,103,8,low,educate children
66,Kenya,159,132,49,medium,educate children
67,Uganda,253,222,31,medium,buy land
68,South Africa,155,78,120,medium,save for emergencies
69,South Africa,247,154,98,high,save for emergencies
70,Kenya,276,205,81,medium,buy land
71,Ghana,213,122,128,low,educate children
72,Ghana,127,68,80,low,save for emergencies
73,Kenya,269,149,152,medium,save for emergencies
74,Nigeria,230,173,62,medium,save for emergencies
75,Uganda,288,233,57,medium,save for emergencies
76,Uganda,176,107,100,low,save for emergencies
77,Ghana,228,165,103,high,buy land
78,Kenya,157,116,58,low,buy land
79,Nigeria,158,89,96,high,save for emergencies
80,Kenya,180,120,89,medium,save for emergencies
81,Nigeria,128,70,73,medium,educate children
82,Ghana,141,126,63,high,save for emergencies
83,Ghana,31,15,63,low,buy land
84,Ghana,283,152,135,high,invest in farming
85,Kenya,66,59,15,low,educate children
86,Kenya,262,229,51,medium,invest in farming
87,Nigeria,237,120,136,low,buy land
88,Ghana,181,143,70,medium,buy land
89,Uganda,145,107,75,low,save for emergencies
90,South Africa,133,85,82,low,educate children
91,South Africa,141,131,34,high,save for emergencies
92,South Africa,128,88,68,low,start a small business
93,Nigeria,223,164,93,medium,educate children
94,Nigeria,237,178,99,low,invest in farming
95,Nigeria,190,162,60,low,start a small business
96,South Africa,164,148,32,high,educate children
97,South Africa,157,110,94,medium,educate children
98,Nigeria,51,38,42,medium,buy land
99,Uganda,67,38,73,medium,save for emergencies
100,Kenya,80,47,59,low,save for emergencies
101,Kenya,56,29,47,high,buy land
102,Uganda,126,90,82,medium,invest in farming
103,Kenya,176,91,119,high,buy land
104,Uganda,221,158,79,low,save for emergencies
105,Nigeria,201,129,100,low,educate children
106,South Africa,75,42,67,high,start a small business
107,Ghana,262,167,118,low,invest in farming
108,Kenya,210,164,78,medium,invest in farming
109,South Africa,145,134,31,high,educate children
110,Kenya,190,161,46,medium,save for emergencies
111,Kenya,252,179,75,low,start a small business
112,Ghana,203,124,128,low,buy land
113,Nigeria,180,155,51,low,educate children
114,Kenya,133,98,43,low,invest in farming
115,Uganda,275,184,129,high,save for emergencies
116,Nigeria,199,124,109,low,buy land
117,Nigeria,42,27,50,low,save for emergencies
118,Uganda,202,120,82,low,start a small business
119,Ghana,293,260,55,medium,start a small business
120,Uganda,172,151,52,high,start a small business
121,South Africa,244,184,81,high,save for emergencies
122,South Africa,80,64,37,low,educate children
123,Uganda,87,64,71,high,invest in farming
124,South Africa,209,145,69,low,educate children
125,South Africa,83,77,38,high,invest in farming
126,Ghana,293,198,138,low,start a small business
127,Ghana,137,72,103,high,save for emergencies
128,Uganda,225,117,152,high,invest in farming
129,Uganda,76,53,35,low,save for emergencies
130,Uganda,153,105,66,high,save for emergencies
131,Ghana,174,149,43,high,buy land
132,Nigeria,121,85,72,high,save for emergencies
133,Nigeria,146,134,34,medium,save for emergencies
134,Kenya,156,86,81,high,buy land
135,South Africa,158,136,22,low,save for emergencies
136,Ghana,268,167,132,low,educate children
137,Ghana,155,124,55,low,save for emergencies
138,Nigeria,266,249,17,medium,start a small business
139,South Africa,218,172,50,low,buy land
140,Ghana,276,204,83,medium,buy land
141,Uganda,183,106,113,high,buy land
142,South Africa,115,85,43,high,educate children
143,Kenya,249,192,103,high,buy land
144,Ghana,123,106,21,low,invest in farming
145,Uganda,233,131,127,high,invest in farming
146,Kenya,68,37,63,medium,educate children
147,Nigeria,283,234,85,low,start a small business
148,Ghana,52,35,21,medium,save for emergencies
149,Kenya,129,97,62,high,invest in farming
150,Kenya,279,157,153,low,save for emergencies
151,South Africa,286,262,28,low,start a small business
152,South Africa,33,23,25,medium,educate children
153,Kenya,276,139,185,low,save for emergencies
154,Uganda,189,177,35,medium,start a small business
155,Nigeria,207,137,102,high,invest in farming
156,Ghana,208,146,98,low,save for emergencies
157,Ghana,297,214,83,medium,invest in farming
158,South Africa,197,171,68,high,start a small business
159,Uganda,73,64,21,low,save for emergencies
160,South Africa,41,33,9,high,invest in farming
161,Ghana,282,255,76,high,save for emergencies
162,Uganda,64,54,26,high,buy land
163,Nigeria,119,66,81,medium,invest in farming
164,Ghana,119,92,67,medium,save for emergencies
165,Nigeria,225,169,105,high,start a small business
166,Nigeria,104,80,59,medium,start a small business
167,Uganda,246,143,138,low,buy land
168,South Africa,221,208,61,medium,start a small business
169,Uganda,128,111,52,medium,save for emergencies
170,Nigeria,125,85,62,high,start a small business
171,Ghana,219,204,51,medium,educate children
172,Uganda,297,260,49,high,invest in farming
173,Kenya,246,221,65,low,save for emergencies
174,Ghana,91,64,74,high,start a small business
175,Nigeria,246,208,50,medium,invest in farming
176,Uganda,216,126,138,low,save for emergencies
177,South Africa,129,75,94,medium,start a small business
178,Uganda,105,60,51,low,start a small business
179,Nigeria,235,211,42,medium,start a small business
180,Kenya,173,154,53,medium,save for emergencies
181,Uganda,54,46,28,low,invest in farming
182,Nigeria,82,63,34,high,buy land
183,Uganda,86,56,60,high,save for emergencies
184,Uganda,151,79,106,high,invest in farming
185,South Africa,244,214,72,high,start a small business
186,South Africa,175,162,21,high,save for emergencies
187,South Africa,103,94,25,medium,invest in farming
188,Nigeria,282,242,46,high,educate children
189,Nigeria,203,113,129,high,save for emergencies
190,Kenya,199,107,141,low,invest in farming
191,Uganda,151,140,15,low,educate children
192,Kenya,58,33,62,high,start a small business
193,Kenya,165,146,40,low,invest in farming
194,Ghana,174,157,41,medium,educate children
195,Uganda,161,115,51,high,invest in farming
196,Nigeria,281,170,129,high,educate children
197,Nigeria,211,143,94,high,save for emergencies
198,Nigeria,231,204,45,low,start a small business
199,Kenya,68,63,7,low,invest in farming
200,Kenya,202,113,138,high,start a small business
201,Uganda,249,181,87,high,save for emergencies
202,Uganda,30,17,25,medium,buy land
203,Kenya,219,171,96,low,start a small business
204,Ghana,146,78,111,low,invest in farming
205,Nigeria,202,132,114,high,save for emergencies
206,Ghana,178,168,30,high,save for emergencies
207,Kenya,232,216,51,low,invest in farming
208,South Africa,256,146,129,high,start a small business
209,South Africa,76,51,39,low,buy land
210,Uganda,30,19,13,high,start a small business
211,Ghana,173,142,41,high,start a small business
212,Kenya,41,29,43,high,start a small business
213,South Africa,185,99,113,low,save for emergencies
214,South Africa,193,103,139,high,start a small business
215,Kenya,57,32,65,low,buy land
216,South Africa,257,191,92,medium,start a small business
217,Ghana,174,159,47,low,start a small business
218,Nigeria,241,196,72,high,start a small business
219,Uganda,269,162,119,low,invest in farming
220,Nigeria,75,42,50,medium,save for emergencies
221,Nigeria,285,210,121,medium,buy land
222,Nigeria,39,36,47,low,educate children
223,Uganda,34,23,43,low,save for emergencies
224,Uganda,94,64,61,low,save for emergencies
225,South Africa,268,182,96,low,start a small business
226,Kenya,92,70,43,medium,save for emergencies
227,Nigeria,206,179,59,medium,educate children
228,Kenya,127,103,58,medium,save for emergencies
229,Nigeria,35,28,23,medium,save for emergencies
230,Kenya,226,207,23,medium,invest in farming
231,Nigeria,288,166,158,medium,invest in farming
232,Nigeria,82,50,41,high,invest in farming
233,Uganda,112,72,60,high,start a small business
234,Uganda,107,61,91,medium,invest in farming
235,Kenya,30,17,57,medium,educate children
236,Nigeria,234,120,114,medium,save for emergencies
237,Ghana,63,58,35,high,save for emergencies
238,Uganda,101,88,38,medium,start a small business
239,Ghana,279,172,109,medium,educate children
240,Ghana,297,201,139,high,invest in farming
241,Uganda,251,181,86,medium,invest in farming
242,Uganda,141,132,55,low,save for emergencies
243,Kenya,236,218,38,medium,start a small business
244,Nigeria,95,57,76,low,start a small business
245,South Africa,221,207,51,low,educate children
246,South Africa,127,80,76,low,invest in farming
247,Nigeria,278,176,134,medium,save for emergencies
248,Nigeria,59,51,49,high,start a small business
249,South Africa,80,56,28,high,start a small business
250,Ghana,167,138,45,high,educate children
251,Kenya,98,82,21,low,buy land
252,Ghana,82,42,52,low,save for emergencies
253,Nigeria,155,119,83,high,invest in farming
254,Nigeria,140,126,36,medium,educate children
255,Ghana,212,185,57,high,save for emergencies
256,Uganda,37,21,55,medium,invest in farming
257,Nigeria,213,130,85,high,buy land
258,Kenya,224,138,114,low,invest in farming
259,Nigeria,189,143,64,high,educate children
260,Kenya,34,18,43,medium,save for emergencies
261,Ghana,199,159,61,low,invest in farming
262,Uganda,30,19,51,low,save for emergencies
263,Ghana,41,33,41,high,save for emergencies
264,Uganda,107,78,73,high,invest in farming
265,Uganda,102,76,72,medium,invest in farming
266,South Africa,150,130,49,high,educate children
267,Kenya,136,115,37,high,buy land
268,Uganda,55,30,25,medium,save for emergencies
269,South Africa,37,34,37,medium,buy land
270,Uganda,282,192,104,low,invest in farming
271,South Africa,156,133,44,low,educate children
272,Nigeria,43,34,32,medium,save for emergencies
273,Kenya,183,104,85,medium,start a small business
274,Nigeria,32,22,55,medium,save for emergencies
275,Kenya,268,242,43,medium,save for emergencies
276,Ghana,256,242,28,low,buy land
277,Uganda,221,198,59,low,educate children
278,Kenya,57,37,58,medium,invest in farming
279,Kenya,260,215,70,high,invest in farming
280,Uganda,155,120,59,low,save for emergencies
281,Uganda,174,99,94,low,invest in farming
282,South Africa,54,30,33,high,educate children
283,Kenya,96,88,52,low,save for emergencies
284,Ghana,175,120,101,high,save for emergencies
285,South Africa,293,258,78,low,save for emergencies
286,Nigeria,112,97,55,medium,start a small business
287,Uganda,130,70,85,low,educate children
288,Kenya,255,185,114,high,invest in farming
289,Ghana,258,161,118,high,save for emergencies
290,South Africa,227,182,92,high,save for emergencies
291,Uganda,33,29,14,medium,educate children
292,South Africa,124,85,47,high,educate children
293,Nigeria,276,140,166,low,buy land
294,Kenya,69,38,66,low,buy land
295,South Africa,252,131,122,low,invest in farming
296,Nigeria,249,198,54,high,buy land
297,Uganda,163,131,33,high,educate children
298,Nigeria,232,123,134,medium,invest in farming
299,Kenya,202,144,62,high,start a small business
300,Ghana,147,91,75,high,invest in farming
301,Kenya,254,146,156,low,invest in farming
302,Nigeria,169,130,39,medium,invest in farming
303,Kenya,119,72,84,medium,start a small business
304,Nigeria,168,86,114,high,buy land
305,Uganda,207,112,99,high,start a small business
306,South Africa,167,126,42,high,invest in farming
307,Ghana,42,28,15,medium,educate children
308,Kenya,113,56,93,low,start a small business
309,South Africa,294,184,144,high,buy land
310,Ghana,123,91,80,low,save for emergencies
311,Ghana,98,92,55,medium,educate children
312,Kenya,166,116,61,medium,save for emergencies
313,Nigeria,64,32,71,high,educate children
314,Uganda,89,72,24,low,save for emergencies
315,Uganda,296,252,80,medium,buy land
316,Ghana,299,208,120,medium,educate children
317,South Africa,242,157,89,low,educate children
318,Kenya,107,78,32,high,start a small business
319,Kenya,118,103,56,medium,save for emergencies
320,South Africa,118,76,81,high,start a small business
321,Nigeria,133,79,85,low,buy land
322,Nigeria,208,141,99,high,buy land
323,South Africa,52,40,44,low,start a small business
324,Uganda,182,107,107,high,buy land
325,Nigeria,133,105,66,medium,start a small business
326,Uganda,227,118,111,high,invest in farming
327,Ghana,208,175,74,low,educate children
328,Nigeria,44,36,36,low,start a small business
329,Kenya,260,156,139,high,educate children
330,Uganda,186,130,88,high,educate children
331,Nigeria,283,208,96,medium,invest in farming
332,Kenya,39,23,25,medium,invest in farming
333,Nigeria,147,110,49,low,save for emergencies
334,Ghana,188,140,83,low,educate children
335,Uganda,245,173,86,low,educate children
336,Uganda,186,100,90,high,save for emergencies
337,Kenya,186,139,50,low,start a small business
338,Nigeria,202,102,126,medium,invest in farming
339,Uganda,124,112,47,medium,invest in farming
340,Nigeria,98,68,40,high,start a small business
341,Kenya,283,214,108,high,educate children
342,Kenya,67,38,36,low,invest in farming
343,Nigeria,52,40,37,medium,save for emergencies
344,South Africa,247,135,151,medium,save for emergencies
345,South Africa,239,207,64,high,save for emergencies
346,Uganda,140,109,73,low,save for emergencies
347,Ghana,162,117,52,high,start a small business
348,Uganda,156,108,56,medium,educate children
349,Kenya,80,68,25,medium,educate children
350,Uganda,243,131,134,high,save for emergencies
351,Ghana,286,188,134,low,start a small business
352,Kenya,139,104,57,medium,invest in farming
353,South Africa,30,20,49,high,save for emergencies
354,Kenya,178,135,51,medium,start a small business
355,South Africa,166,156,35,low,educate children
356,Kenya,92,70,47,high,start a small business
357,South Africa,104,89,16,medium,educate children
358,Nigeria,239,209,63,high,educate children
359,Nigeria,46,33,56,low,buy land
360,Uganda,280,190,113,medium,save for emergencies
361,Uganda,54,33,26,high,buy land
362,Nigeria,190,143,75,low,educate children
363,Nigeria,92,67,50,low,start a small business
364,Kenya,185,140,51,medium,start a small business
365,Ghana,113,96,65,low,start a small business
366,South Africa,177,150,66,medium,start a small business
367,Nigeria,78,45,33,medium,buy land
368,Ghana,253,138,144,low,save for emergencies
369,Ghana,244,172,90,low,buy land
370,Ghana,61,46,59,high,start a small business
371,Nigeria,173,125,66,medium,educate children
372,South Africa,47,23,37,medium,save for emergencies
373,Ghana,204,167,64,low,invest in farming
374,Uganda,142,120,51,medium,start a small business
375,Ghana,195,147,51,medium,save for emergencies
376,South Africa,293,200,131,low,educate children
377,Ghana,160,111,58,medium,save for emergencies
378,Kenya,191,149,69,low,start a small business
379,Kenya,207,109,126,high,save for emergencies
380,South Africa,37,18,21,medium,save for emergencies
381,Ghana,284,266,25,high,start a small business
382,Nigeria,83,77,8,high,save for emergencies
383,Nigeria,80,72,35,medium,save for emergencies
384,Uganda,293,180,144,high,buy land
385,Ghana,117,71,77,high,invest in farming
386,Kenya,149,119,72,medium,invest in farming
387,Nigeria,194,150,64,low,educate children
388,Kenya,252,180,119,low,buy land
389,Nigeria,36,27,15,low,educate children
390,Uganda,190,117,93,high,save for emergencies
391,South Africa,176,106,105,high,invest in farming
392,Nigeria,217,189,29,low,buy land
393,Nigeria,226,132,104,high,buy land
394,South Africa,263,132,133,high,educate children
395,Kenya,148,85,82,medium,buy land
396,Nigeria,290,181,146,low,invest in farming
397,South Africa,285,235,58,medium,invest in farming
398,Uganda,255,179,119,low,buy land
399,Kenya,110,64,75,high,save for emergencies
400,South Africa,149,132,62,medium,start a small business
401,Uganda,244,217,43,low,start a small business
402,Kenya,144,88,69,medium,buy land
403,Nigeria,38,26,13,medium,educate children
404,Ghana,266,157,147,medium,educate children
405,Uganda,230,136,136,medium,start a small business
406,Nigeria,33,25,36,high,start a small business
407,Kenya,138,102,58,medium,buy land
408,Kenya,104,57,64,high,start a small business
409,Kenya,157,119,73,medium,start a small business
410,Ghana,70,40,63,low,buy land
411,Uganda,46,27,43,medium,invest in farming
412,Ghana,105,74,72,high,save for emergencies
413,South Africa,56,52,34,medium,educate children
414,Nigeria,163,120,76,high,invest in farming
415,Kenya,297,200,103,medium,educate children
416,Kenya,202,117,110,low,start a small business
417,Nigeria,219,154,66,high,buy land
418,Nigeria,222,161,96,high,educate children
419,Ghana,58,49,19,low,invest in farming
420,Ghana,40,23,65,medium,start a small business
421,South Africa,216,146,109,high,invest in farming
422,Nigeria,256,181,108,high,start a small business
423,Kenya,84,65,40,low,invest in farming
424,Ghana,98,81,52,low,educate children
425,Kenya,268,153,133,low,start a small business
426,South Africa,256,234,38,high,start a small business
427,Ghana,230,140,91,medium,start a small business
428,Nigeria,102,59,82,medium,buy land
429,Ghana,46,23,47,medium,save for emergencies
430,Kenya,90,84,47,high,invest in farming
431,Ghana,54,33,55,high,buy land
432,Kenya,160,123,66,low,invest in farming
433,Kenya,131,98,44,medium,save for emergencies
434,Nigeria,130,108,70,medium,educate children
435,Kenya,46,32,62,low,save for emergencies
436,Ghana,41,35,29,high,start a small business
437,Ghana,293,226,89,high,buy land
438,Ghana,227,184,67,high,buy land
439,South Africa,118,70,62,high,buy land
440,Kenya,88,69,59,high,start a small business
441,South Africa,55,41,45,high,invest in farming
442,Ghana,295,162,139,low,start a small business
443,South Africa,115,63,65,low,start a small business
444,Kenya,146,79,75,high,buy land
445,Ghana,205,173,81,medium,start a small business
446,Ghana,244,214,47,medium,save for emergencies
447,Kenya,252,219,71,high,invest in farming
448,South Africa,132,82,63,low,educate children
449,Uganda,188,117,105,medium,save for emergencies
450,Nigeria,137,127,54,medium,invest in farming
451,Ghana,127,65,98,high,start a small business
452,Nigeria,200,139,86,high,educate children
453,South Africa,212,192,63,high,buy land
454,Ghana,68,48,68,low,invest in farming
455,Nigeria,33,28,26,low,educate children
456,Ghana,239,151,103,medium,buy land
457,Kenya,137,129,9,high,buy land
458,Nigeria,256,169,120,high,invest in farming
459,Uganda,280,258,34,high,buy land
460,Uganda,170,102,99,medium,educate children
461,South Africa,125,96,67,medium,educate children
462,South Africa,58,45,41,medium,buy land
463,Uganda,274,244,45,low,invest in farming
464,South Africa,265,242,32,low,educate children
465,Kenya,94,76,66,medium,start a small business
466,Nigeria,32,28,17,high,save for emergencies
467,Ghana,187,160,44,high,save for emergencies
468,Nigeria,182,138,44,low,start a small business
469,Uganda,102,65,85,low,buy land
470,South Africa,169,142,63,high,save for emergencies
471,Uganda,90,81,51,medium,buy land
472,Nigeria,227,151,121,medium,invest in farming
473,South Africa,40,32,41,low,educate children
474,Uganda,182,161,24,medium,start a small business
475,Nigeria,88,51,56,low,educate children
476,Nigeria,92,55,79,low,buy land
477,Ghana,255,183,97,high,invest in farming
478,Nigeria,270,137,138,medium,invest in farming
479,Nigeria,34,21,59,medium,educate children
480,South Africa,244,170,82,medium,start a small business
481,Uganda,128,83,93,low,buy land
482,Nigeria,90,79,60,high,buy land
483,Kenya,91,61,53,high,buy land
484,South Africa,32,18,51,medium,buy land
485,Ghana,298,268,76,high,educate children
486,Kenya,118,67,54,low,start a small business
487,South Africa,127,73,94,medium,educate children
488,South Africa,152,104,56,low,educate children
489,Kenya,224,136,121,medium,start a small business
490,Kenya,199,107,106,medium,buy land
491,Nigeria,69,58,15,medium,buy land
492,Nigeria,255,214,55,low,invest in farming
493,South Africa,67,40,31,medium,save for emergencies
494,Uganda,205,191,31,high,educate children
495,Kenya,66,60,53,medium,invest in farming
496,Kenya,110,94,60,high,save for emergencies
497,Kenya,253,187,94,high,invest in farming
498,Kenya,144,129,17,medium,save for emergencies
499,Nigeria,85,75,49,low,educate children
500,Uganda,266,165,106,medium,buy land
501,Nigeria,245,140,120,low,buy land
502,Nigeria,197,156,88,high,start a small business
503,Uganda,198,111,129,low,save for emergencies
504,Nigeria,74,61,54,high,start a small business
505,Uganda,220,136,121,medium,buy land
506,Nigeria,217,114,107,medium,educate children
507,Nigeria,264,176,118,low,start a small business
508,Ghana,52,35,26,high,buy land
509,Ghana,189,146,72,high,buy land
510,Ghana,68,51,52,high,educate children
511,Nigeria,287,219,96,high,invest in farming
512,Nigeria,41,26,16,high,invest in farming
513,South Africa,253,138,160,medium,start a small business
514,Ghana,184,108,115,high,educate children
515,Uganda,252,223,52,low,educate children
516,Uganda,192,165,45,low,start a small business
517,Nigeria,103,91,43,high,educate children
518,Uganda,89,58,60,high,educate children
519,Uganda,66,61,26,high,save for emergencies
520,Nigeria,225,131,125,medium,invest in farming
521,Kenya,271,202,95,low,invest in farming
522,Kenya,221,126,106,high,buy land
523,Nigeria,222,132,115,medium,invest in farming
524,Uganda,149,123,39,high,invest in farming
525,Nigeria,221,156,93,low,buy land
526,Ghana,233,151,116,low,start a small business
527,Uganda,36,30,16,high,buy land
528,Ghana,62,36,72,high,educate children
529,Nigeria,108,85,33,medium,save for emergencies
530,Kenya,87,65,47,low,invest in farming
531,Ghana,255,155,103,low,educate children
532,Uganda,128,76,92,low,start a small business
533,Kenya,68,48,48,high,invest in farming
534,Nigeria,186,167,50,low,invest in farming
535,Nigeria,159,125,47,medium,save for emergencies
536,Nigeria,113,77,46,medium,buy land
537,South Africa,56,30,42,low,educate children
538,Kenya,265,187,105,low,save for emergencies
539,Kenya,50,39,26,medium,save for emergencies
540,Uganda,113,61,70,low,start a small business
541,Nigeria,286,200,123,low,invest in farming
542,South Africa,44,23,55,medium,educate children
543,Ghana,41,37,18,medium,buy land
544,South Africa,237,144,100,medium,start a small business
545,Uganda,89,68,37,medium,educate children
546,Kenya,122,113,16,low,save for emergencies
547,Uganda,108,80,73,medium,save for emergencies
548,Uganda,79,45,36,low,start a small business
549,Kenya,210,128,84,medium,save for emergencies
550,Ghana,75,51,48,high,save for emergencies
551,Ghana,251,202,55,medium,start a small business
552,Nigeria,265,215,85,high,buy land
553,Ghana,38,24,61,high,educate children
554,South Africa,243,122,144,low,buy land
555,South Africa,101,60,53,high,educate children
556,Nigeria,238,190,68,high,buy land
557,South Africa,124,99,56,high,invest in farming
558,Nigeria,40,32,32,high,start a small business
559,Ghana,131,105,33,low,start a small business
560,Nigeria,296,235,101,medium,start a small business
561,Kenya,105,97,39,medium,buy land
562,South Africa,109,75,61,low,start a small business
563,South Africa,177,120,66,high,start a small business
564,Kenya,271,231,41,low,start a small business
565,Uganda,254,159,135,low,buy land
566,Kenya,106,78,49,medium,save for emergencies
567,Kenya,132,67,102,low,buy land
568,Uganda,119,104,64,medium,educate children
569,Nigeria,172,129,91,low,invest in farming
570,South Africa,152,81,79,low,save for emergencies
571,Nigeria,291,217,112,low,educate children
572,Uganda,252,157,135,medium,start a small business
573,South Africa,233,123,117,low,save for emergencies
574,Kenya,207,194,32,low,start a small business
575,Kenya,140,128,18,low,buy land
576,Uganda,113,71,45,low,buy land
577,Uganda,51,27,64,medium,invest in farming
578,Kenya,217,121,106,low,save for emergencies
579,Nigeria,41,31,22,high,start a small business
580,Nigeria,54,39,33,high,save for emergencies
581,Kenya,84,77,51,medium,invest in farming
582,South Africa,250,177,104,high,invest in farming
583,Kenya,111,60,68,low,educate children
584,South Africa,240,141,135,low,start a small business
585,Nigeria,88,46,69,high,buy land
586,Kenya,231,149,110,medium,start a small business
587,Ghana,236,214,28,medium,save for emergencies
588,Ghana,242,151,114,high,invest in farming
589,Kenya,33,27,49,high,invest in farming
590,Kenya,49,41,56,medium,educate children
591,Kenya,125,102,58,low,buy land
592,South Africa,279,255,57,high,educate children
593,Nigeria,257,193,78,high,buy land
594,Nigeria,291,183,149,medium,educate children
595,Kenya,272,250,33,medium,buy land
596,Ghana,160,97,102,high,invest in farming
597,Kenya,50,39,43,low,buy land
598,Ghana,37,21,63,medium,educate children
599,South Africa,116,99,60,medium,educate children
600,Nigeria,43,34,10,low,save for emergencies
601,Nigeria,70,64,52,low,educate children
602,South Africa,43,27,40,high,start a small business
603,Ghana,113,57,94,high,buy land
604,Nigeria,174,114,61,medium,educate children
605,Ghana,192,100,92,medium,save for emergencies
606,Ghana,193,140,75,medium,invest in farming
607,Nigeria,39,21,31,high,buy land
608,Uganda,109,63,74,low,invest in farming
609,Nigeria,295,222,102,low,start a small business
610,Nigeria,286,147,158,low,educate children
611,Uganda,293,146,166,low,save for emergencies
612,Nigeria,150,111,85,medium,start a small business
613,Ghana,233,152,129,medium,start a small business
614,Kenya,149,117,59,high,buy land
615,Kenya,236,123,156,high,invest in farming
616,Nigeria,280,200,99,high,save for emergencies
617,Nigeria,159,115,63,medium,start a small business
618,Nigeria,30,21,43,medium,invest in farming
619,South Africa,227,213,18,high,save for emergencies
620,South Africa,190,145,58,high,invest in farming
621,Nigeria,41,29,31,low,buy land
622,South Africa,210,192,60,high,invest in farming
623,Nigeria,155,126,57,high,save for emergencies
624,Uganda,214,145,99,low,start a small business
625,Ghana,213,148,114,low,educate children
626,Kenya,180,134,61,medium,start a small business
627,Kenya,263,138,174,medium,invest in farming
628,Uganda,158,86,100,medium,start a small business
629,Nigeria,34,31,24,high,buy land
630,Uganda,204,135,69,high,save for emergencies
631,Kenya,148,116,41,high,save for emergencies
632,Uganda,143,88,71,high,start a small business
633,Uganda,55,34,67,low,save for emergencies
634,Nigeria,261,242,30,high,save for emergencies
635,South Africa,30,17,43,low,invest in farming
636,Kenya,171,137,81,medium,start a small business
637,Nigeria,98,89,34,medium,save for emergencies
638,Uganda,249,189,109,low,buy land
639,Ghana,221,179,50,low,save for emergencies
640,Nigeria,190,135,79,medium,buy land
641,Kenya,205,114,99,high,save for emergencies
642,Kenya,274,213,91,high,educate children
643,Kenya,127,100,72,high,buy land
644,Kenya,161,98,68,medium,save for emergencies
645,Kenya,111,67,84,high,start a small business
646,Uganda,158,132,32,high,buy land
647,Ghana,118,79,53,low,invest in farming
648,Nigeria,94,58,42,low,invest in farming
649,Kenya,172,106,84,high,buy land
650,Kenya,122,85,69,medium,buy land
651,Ghana,253,238,49,medium,invest in farming
652,Kenya,131,90,51,medium,invest in farming
653,Ghana,139,82,66,medium,buy land
654,Uganda,294,149,165,medium,educate children
655,Nigeria,146,98,72,high,buy land
656,Ghana,41,24,50,low,educate children
657,South Africa,257,142,157,high,invest in farming
658,Kenya,50,35,30,high,invest in farming
659,South Africa,146,87,83,low,start a small business
660,South Africa,232,166,80,low,educate children
661,Nigeria,170,103,100,high,educate children
662,Nigeria,81,66,43,medium,start a small business
663,South Africa,268,161,141,high,invest in farming
664,Ghana,165,97,109,low,buy land
665,Nigeria,187,110,78,low,invest in farming
666,Uganda,106,56,75,medium,educate children
667,Ghana,292,240,95,medium,invest in farming
668,Kenya,103,89,26,high,buy land
